DateTimePhoto,Code_exp,Code_Lieu,Phone,TypeNetwork_Fixed,aim_x_dd,aim_y_dd,aim.x,aim.y,point_x_dd,point_y_dd,point.x,point.y,distance_s12,distance_lon_UMT,distance_lat_UMT
2020:01:11 15:15:42,N17S8,FFBO,Standard,4G,47.01455556,6.908419444,341024.54613,5209004.8343,47.017222,6.904167,340709.27174,5209309.7869,438.64842757,315.27439154,304.95256453
2020:01:11 15:35:52,N17E9,CRFO,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 15:36:25,N17S9,CRFO,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 15:55:53,N17E10,CRCH,Experimental,2G,47.007325,6.903783333,340650.66576,5208210.7613,47.012778,6.9025,340569.3467,5208819.3394,614.02005859,81.319054896,608.57808699
2020:01:11 15:56:26,N17S10,CRCH,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 16:33:01,N17E11,SPON,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 16:33:30,N17S11,SPON,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:11 16:51:59,N17E12,GORG,Experimental,2G,46.98966944,6.911566667,341189.99387,5206232.9763,46.991667,6.911389,341182.40372,5206455.3152,222.4809379,7.5901447793,222.33888612
2020:01:11 16:52:26,N17S12,GORG,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:12 10:22:27,N18E1,HGGA,Experimental,3G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:12 10:23:31,N18S1,HGGA,Standard,4G,47.04779167,6.874791667,338568.95736,5212767.043,47.048611,6.875278,338608.37048,5212857.0884,98.297606149,39.41312331,90.045377291
2020:01:12 10:52:02,N18E2,SGAF,Experimental,3G,47.05589444,6.879594444,338958.16773,5213657.5722,47.05,6.880833,339034.48938,5212999.9992,662.01873695,76.321653969,657.5729653
2020:01:12 10:52:34,N18S2,SGAF,Standard,4G,47.05589444,6.879594444,338958.16773,5213657.5722,47.045556,6.879167,338894.56357,5212509.5853,1149.8021169,63.604152079,1147.9869139
2020:01:12 11:14:10,N18E3,FAFO,Experimental,3G,47.05625,6.883172222,339230.9553,5213689.726,47.053611,6.881111,339066.472,5213400.7026,332.56476363,164.48329472,289.02340053
2020:01:12 11:14:44,N18S3,FAFO,Standard,4G,47.05625,6.883172222,339230.9553,5213689.726,47.055833,6.884167,339305.25113,5213641.3428,88.664637287,74.295837352,48.383164288
2020:01:12 11:48:59,N18S4,JGAZ,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2020:01:12 11:50:58,N18E4,JGAZ,Experimental,3G,47.05073611,6.886836111,339492.6622,5213069.468,47.050556,6.890278,339753.54608,5213042.3983,262.29422198,260.88387781,27.069668088
