DateTimePhoto;Code_exp;Code_lieu;Phone;TypeNetwork_Fixed;real_lat;real_lon;photo_lat;photo_lon;distance
2019:12:21 12:33:49;N13E5c;FERM;Experimental;2G;47.08025;6.75442;47.106111;7.040833;21934.748038194986
2019:12:21 12:34:24;N13S5;FERM;Standard;4G;47.08025;6.75442;47.080278;6.754444;3.607159062033493
2019:12:21 13:09:23;N13E6;CHOU;Experimental;2G;None;None;None;None;None
2019:12:21 13:10:02;N13S6;CHOU;Standard;4G;None;None;None;None;None
2019:12:21 14:15:54;N13E7a;MAIL;Experimental;2G;None;None;None;None;None
2019:12:21 14:16:38;N13S7a;MAIL;Standard;4G;47.10309167;6.786602778;47.103333;6.786944;37.29243009322273
2019:12:21 14:20:27;N13E7b;MAIL;Experimental;2G;None;None;None;None;None
2019:12:21 14:24:45;N13S7b;MAIL;Standard;4G;None;None;None;None;None
2019:12:21 14:50:15;N13E8;VREV;Experimental;2G;47.10425;6.803947222;47.160833;6.933333;11658.83778029023
2019:12:21 14:51:11;N13S8;VREV;Standard;4G;47.10425;6.803947222;47.104444;6.803889;22.015692418330577
